t,global_S,global_Ms,global_psi_s,targeted_S,targeted_Ms,targeted_psi_s
0.0,0.9979999999999998,1.1200000000000003,1.1133067729083665,1.0,1.1159999999999999,1.111553784860558
0.12,0.9860000000000001,1.1200000000000003,1.0742412451361865,1.0,1.0920000000000005,1.0622568093385214
0.24,0.9740000000000001,1.1200000000000003,1.0369581749049428,1.0,1.0679999999999998,1.0152091254752853
0.36,0.9619999999999999,1.1200000000000003,1.0013382899628258,1.0,1.0440000000000003,0.9702602230483274
0.48,0.9499999999999998,1.1200000000000003,0.967272727272727,1.0,1.0199999999999998,0.9272727272727275
0.6,0.9380000000000002,1.1200000000000003,0.9346619217081854,1.0,1.0,0.8896797153024909
0.72,0.9259999999999999,1.1200000000000003,0.9034146341463418,1.0,1.0,0.8710801393728219
0.84,0.9139999999999998,1.1200000000000003,0.873447098976109,1.0,1.0,0.8532423208191128
0.96,0.9019999999999999,1.1200000000000003,0.8446822742474913,1.0,1.0,0.8361204013377926
1.08,0.89,1.1200000000000003,0.8170491803278688,1.0,1.0,0.8196721311475409
1.2,0.878,1.1200000000000003,0.7904823151125402,1.0,1.0,0.8038585209003213
1.32,0.8659999999999998,1.1200000000000003,0.7649211356466877,1.0,1.0,0.7886435331230283
1.44,0.8539999999999998,1.1200000000000003,0.7403095975232197,1.0,1.0,0.7739938080495355
1.56,0.8419999999999999,1.1200000000000003,0.7165957446808509,1.0,1.0,0.7598784194528873
1.68,0.83,1.1200000000000003,0.6937313432835819,1.0,1.0,0.7462686567164176
1.8,0.8179999999999998,1.1200000000000003,0.6716715542521993,1.0,1.0,0.7331378299120231
1.92,0.8059999999999996,1.1200000000000003,0.6503746397694521,1.0,1.0,0.7204610951008644
2.04,0.7939999999999998,1.1200000000000003,0.6298016997167136,1.0,1.0,0.7082152974504246
2.16,0.7819999999999999,1.1200000000000003,0.6099164345403897,1.0,1.0,0.6963788300835654
2.2800000000000002,0.7699999999999997,1.1200000000000003,0.590684931506849,1.0,1.0,0.6849315068493149
2.4,0.7579999999999998,1.1200000000000003,0.572075471698113,1.0,1.0,0.6738544474393529
2.52,0.7459999999999997,1.1200000000000003,0.5540583554376655,1.0,1.0,0.663129973474801
2.64,0.7339999999999998,1.1200000000000003,0.5366057441253262,1.0,1.0,0.6527415143603131
2.7600000000000002,0.7219999999999996,1.1200000000000003,0.5196915167095115,1.0,1.0,0.6426735218508997
2.88,0.7099999999999997,1.1200000000000003,0.5032911392405061,1.0,1.0,0.6329113924050631
3.0,0.6979999999999997,1.1200000000000003,0.48738154613466295,1.0,1.0,0.6234413965087279
3.12,0.6859999999999998,1.1200000000000003,0.47194103194103165,1.0,1.0,0.614250614250614
3.24,0.6739999999999996,1.1200000000000003,0.45694915254237245,1.0,1.0,0.605326876513317
3.36,0.6619999999999999,1.1200000000000003,0.44238663484486823,1.0,1.0,0.5966587112171835
3.48,0.6499999999999996,1.1200000000000003,0.42823529411764666,1.0,1.0,0.5882352941176469
3.6,0.6379999999999998,1.1200000000000003,0.41447795823665856,1.0,1.0,0.5800464037122968
3.72,0.6259999999999996,1.1200000000000003,0.401098398169336,1.0,1.0,0.5720823798627002
3.84,0.6139999999999998,1.1200000000000003,0.38808126410835186,1.0,1.0,0.564334085778781
3.96,0.6019999999999994,1.1200000000000003,0.3754120267260576,1.0,1.0,0.5567928730512247
4.08,0.5899999999999997,1.1200000000000003,0.3630769230769228,1.0,1.0,0.5494505494505493
4.2,0.5779999999999995,1.1200000000000003,0.35106290672451157,1.0,1.0,0.5422993492407808
4.32,0.5659999999999998,1.1200000000000003,0.33935760171306184,1.0,1.0,0.5353319057815843
4.44,0.5539999999999995,1.1200000000000003,0.3279492600422829,1.0,1.0,0.5285412262156445
4.5600000000000005,0.5419999999999997,1.1200000000000003,0.31682672233820425,1.0,1.0,0.5219206680584548
4.68,0.5299999999999995,1.1200000000000003,0.3059793814432985,1.0,1.0,0.515463917525773
