t,mean_phi,mean_C,mean_beta,mean_psi_s,ischemia_warning
0.0,0.9960000000000003,1.4499999999999995,0.05274999999999999,0.686896551724138,0
0.2,0.9800000000000003,1.4499999999999995,0.06375,0.6758620689655175,0
0.4,0.9640000000000003,1.4499999999999995,0.07475000000000002,0.6648275862068965,0
0.6000000000000001,0.9480000000000003,1.4499999999999995,0.08575,0.6537931034482759,0
0.8,0.9320000000000003,1.4499999999999995,0.09675000000000006,0.6427586206896551,0
1.0,0.9160000000000003,1.4499999999999995,0.10775000000000003,0.6317241379310344,0
1.2000000000000002,0.9000000000000002,1.4499999999999995,0.11875000000000009,0.6206896551724135,0
1.4000000000000001,0.8840000000000002,1.4499999999999995,0.12975000000000006,0.6096551724137933,0
1.6,0.8680000000000002,1.4499999999999995,0.1407500000000001,0.5986206896551723,0
1.8,0.8520000000000002,1.4499999999999995,0.1517500000000001,0.5875862068965515,0
2.0,0.8360000000000002,1.4499999999999995,0.1627500000000001,0.576551724137931,0
2.2,0.8200000000000002,1.4499999999999995,0.1737500000000001,0.5655172413793103,0
2.4000000000000004,0.8040000000000002,1.4499999999999995,0.18475000000000016,0.5544827586206897,0
2.6,0.788,1.4499999999999995,0.19575000000000017,0.5434482758620689,0
2.8000000000000003,0.772,1.4499999999999995,0.2067500000000001,0.532413793103448,0
3.0,0.756,1.4499999999999995,0.21775000000000014,0.5213793103448275,0
3.2,0.74,1.4499999999999995,0.2287500000000002,0.5103448275862067,0
3.4000000000000004,0.724,1.4499999999999995,0.23975000000000024,0.4993103448275862,0
3.6,0.708,1.4499999999999995,0.2507500000000001,0.48827586206896534,0
3.8000000000000003,0.692,1.4499999999999995,0.2617500000000001,0.4772413793103445,0
4.0,0.6759999999999999,1.4499999999999995,0.2727499999999999,0.46620689655172404,0
4.2,0.6599999999999999,1.4499999999999995,0.2837499999999999,0.4551724137931031,0
4.4,0.6439999999999999,1.4499999999999995,0.2947499999999997,0.4441379310344826,0
4.6000000000000005,0.6279999999999999,1.4499999999999995,0.3057499999999997,0.43310344827586184,0
4.800000000000001,0.6119999999999999,1.4499999999999995,0.31674999999999953,0.42206896551724105,0
5.0,0.5959999999999999,1.4499999999999995,0.32774999999999943,0.4110344827586205,0
5.2,0.5799999999999998,1.4499999999999995,0.3387499999999993,0.3999999999999997,0
5.4,0.5639999999999998,1.4499999999999995,0.3497499999999993,0.3889655172413792,0
5.6000000000000005,0.5479999999999998,1.4499999999999995,0.3607499999999992,0.3779310344827583,0
5.800000000000001,0.5319999999999998,1.4499999999999995,0.37174999999999897,0.36689655172413776,0
6.0,0.5159999999999998,1.4499999999999995,0.38274999999999887,0.355862068965517,0
6.2,0.4999999999999998,1.4499999999999995,0.3937499999999989,0.3448275862068962,0
6.4,0.48399999999999976,1.4499999999999995,0.40474999999999883,0.3337931034482757,0
6.6000000000000005,0.46799999999999975,1.4499999999999995,0.4157499999999985,0.3227586206896548,0
6.800000000000001,0.45199999999999974,1.4499999999999995,0.42674999999999846,0.31172413793103415,0
7.0,0.4359999999999996,1.4499999999999995,0.4377499999999985,0.3006896551724135,0
7.2,0.4199999999999996,1.4499999999999995,0.44874999999999843,0.2896551724137927,0
7.4,0.4039999999999996,1.4499999999999995,0.4597499999999981,0.2786206896551721,0
7.6000000000000005,0.38799999999999957,1.4499999999999995,0.47074999999999806,0.26758620689655144,0
7.800000000000001,0.37199999999999955,1.4499999999999995,0.48174999999999807,0.2565517241379306,0
